,net_profit,total_revenue,total_cost,served_customers,rejected_customers,mean_soc_fulfillment,total_compute_s,mean_step_ms,gap_to_best,profit_per_compute_s
net_profit,1.0,1.0,0.9999,0.8432,-0.5752,-0.0012,0.1781,0.1781,-0.0199,0.2038
total_revenue,1.0,1.0,1.0,0.8455,-0.5765,-0.0012,0.1717,0.1717,-0.0242,0.2089
total_cost,0.9999,1.0,1.0,0.8466,-0.5771,-0.0012,0.1685,0.1685,-0.0264,0.2115
served_customers,0.8432,0.8455,0.8466,1.0,-0.6351,-0.0262,-0.0344,-0.0344,-0.0588,0.4214
rejected_customers,-0.5752,-0.5765,-0.5771,-0.6351,1.0,0.0799,0.0028,0.0028,0.0728,-0.2481
mean_soc_fulfillment,-0.0012,-0.0012,-0.0012,-0.0262,0.0799,1.0,0.0082,0.0082,0.074,0.0032
total_compute_s,0.1781,0.1717,0.1685,-0.0344,0.0028,0.0082,1.0,1.0,0.4242,-0.4822
mean_step_ms,0.1781,0.1717,0.1685,-0.0344,0.0028,0.0082,1.0,1.0,0.4242,-0.4822
gap_to_best,-0.0199,-0.0242,-0.0264,-0.0588,0.0728,0.074,0.4242,0.4242,1.0,-0.1337
profit_per_compute_s,0.2038,0.2089,0.2115,0.4214,-0.2481,0.0032,-0.4822,-0.4822,-0.1337,1.0
