controller_a,controller_b,metric,n_pairs,mean_a,mean_b,mean_diff,p_ttest,p_wilcoxon,cohen_d,is_significant
equal_share,max_charge,net_profit,90,102.15464159947346,133.66990051559273,-31.515258916119247,3.3029066202807884e-22,1.7437900167092118e-16,-1.366409499054068,True
equal_share,milp_h1,net_profit,90,102.15464159947346,134.97214470543858,-32.817503105965066,2.5577544483720568e-23,1.7437900167092118e-16,-1.4265758061050076,True
equal_share,milp_h12,net_profit,90,102.15464159947346,135.07529634789253,-32.92065474841907,2.004705001183173e-23,1.7437900167092118e-16,-1.4323522168023095,True
equal_share,milp_h3,net_profit,90,102.15464159947346,134.99423034589293,-32.83958874641946,2.0116235881688502e-23,1.7437900167092118e-16,-1.4322704737130805,True
equal_share,milp_h6,net_profit,90,102.15464159947346,135.04873090681147,-32.894089307338014,2.2191446516393625e-23,1.7437900167092118e-16,-1.429941724869389,True
equal_share,random,net_profit,90,102.15464159947346,123.48284981116687,-21.32820821169339,3.6655499854143144e-16,7.096494265883983e-14,-1.0510946370927083,True
max_charge,milp_h1,net_profit,90,133.66990051559273,134.97214470543858,-1.3022441898458217,2.1795843810671902e-61,1.8032804387214838e-16,-4.539758010766301,True
max_charge,milp_h12,net_profit,90,133.66990051559273,135.07529634789253,-1.405395832299818,2.849394748889431e-67,1.7437900167092118e-16,-5.318969846378509,True
max_charge,milp_h3,net_profit,90,133.66990051559273,134.99423034589293,-1.324329830300208,4.837920068293568e-49,2.0758772637325914e-15,-3.227759237859055,True
max_charge,milp_h6,net_profit,90,133.66990051559273,135.04873090681147,-1.3788303912187643,3.4495559709888937e-64,1.7437900167092118e-16,-4.896494647842478,True
max_charge,random,net_profit,90,133.66990051559273,123.48284981116687,10.187050704425863,1.0068054196411868e-43,1.7437900167092118e-16,2.770752716214507,True
milp_h1,milp_h12,net_profit,90,134.97214470543858,135.07529634789253,-0.10315164245399641,1.4942372439246958e-06,2.207841496844829e-08,-0.5437764605955788,True
milp_h1,milp_h3,net_profit,90,134.97214470543858,134.99423034589293,-0.02208564045438632,0.5633858920048325,0.010314862010665811,-0.06113646038750619,False
milp_h1,milp_h6,net_profit,90,134.97214470543858,135.04873090681147,-0.07658620137294274,0.002147230231767974,1.5687495445163253e-06,-0.3332365270619625,True
milp_h1,random,net_profit,90,134.97214470543858,123.48284981116687,11.489294894271685,2.912639834824424e-48,1.7437900167092118e-16,3.1571948077914294,True
milp_h12,milp_h3,net_profit,90,135.07529634789253,134.99423034589293,0.0810660019996101,0.02411853693696162,0.00012272848981106,0.24185442854576172,True
milp_h12,milp_h6,net_profit,90,135.07529634789253,135.04873090681147,0.02656544108105368,0.1493740312818915,0.5340998573834517,0.15329925465820368,False
milp_h12,random,net_profit,90,135.07529634789253,123.48284981116687,11.59244653672568,8.841172347630584e-49,1.7437900167092118e-16,3.2039152575584176,True
milp_h3,milp_h6,net_profit,90,134.99423034589293,135.04873090681147,-0.054500560918556415,0.13590201712750188,0.00038031696875057966,-0.158625682134217,False
milp_h3,random,net_profit,90,134.99423034589293,123.48284981116687,11.51138053472607,9.649282552379182e-49,1.7437900167092118e-16,3.200468486310199,True
milp_h6,random,net_profit,90,135.04873090681147,123.48284981116687,11.565881095644626,1.58031786683137e-48,1.7437900167092118e-16,3.181084780308849,True
