controller,ports,net_profit,mean_step_ms,served_customers,rejected_customers
equal_share,3,45.79,0.01,7.17,235.3
equal_share,6,85.9,0.01,13.33,226.1
equal_share,12,174.77,0.01,25.63,208.0
max_charge,3,57.76,0.0,10.4,232.13
max_charge,6,115.06,0.0,20.67,218.83
max_charge,12,228.18,0.0,39.2,194.6
milp_h1,3,59.21,14.75,8.07,234.43
milp_h1,6,116.36,9.6,14.53,225.07
milp_h1,12,229.34,11.98,25.13,208.47
milp_h12,3,59.3,25.48,8.47,234.03
milp_h12,6,116.52,29.93,14.83,224.8
milp_h12,12,229.41,45.09,28.87,205.63
milp_h3,3,59.29,27.28,8.8,233.8
milp_h3,6,116.41,14.44,14.5,225.23
milp_h3,12,229.28,18.34,27.37,207.1
milp_h6,3,59.3,17.13,8.77,233.77
milp_h6,6,116.43,19.98,14.0,225.8
milp_h6,12,229.42,26.67,26.7,207.87
random,3,50.95,0.03,8.7,233.83
random,6,105.61,0.03,18.6,221.0
random,12,213.89,0.04,34.53,199.0
