,net_profit,total_revenue,total_cost,served_customers,rejected_customers,mean_soc_fulfillment,total_compute_s,mean_step_ms,gap_to_best,profit_per_compute_s
net_profit,1.0,0.9999,0.9998,0.8772,-0.5144,-0.0507,0.1196,0.1196,-0.0023,-0.0131
total_revenue,0.9999,1.0,1.0,0.8807,-0.5166,-0.0489,0.1188,0.1188,-0.0109,-0.0041
total_cost,0.9998,1.0,1.0,0.8817,-0.5172,-0.0484,0.1186,0.1186,-0.0135,-0.0015
served_customers,0.8772,0.8807,0.8817,1.0,-0.6317,-0.0122,0.1271,0.1271,-0.0884,0.2044
rejected_customers,-0.5144,-0.5166,-0.5172,-0.6317,1.0,-0.0255,-0.0962,-0.0962,0.0534,-0.0814
mean_soc_fulfillment,-0.0507,-0.0489,-0.0484,-0.0122,-0.0255,1.0,-0.021,-0.021,-0.0531,0.0589
total_compute_s,0.1196,0.1188,0.1186,0.1271,-0.0962,-0.021,1.0,1.0,0.0394,-0.0407
mean_step_ms,0.1196,0.1188,0.1186,0.1271,-0.0962,-0.021,1.0,1.0,0.0394,-0.0407
gap_to_best,-0.0023,-0.0109,-0.0135,-0.0884,0.0534,-0.0531,0.0394,0.0394,1.0,-0.0792
profit_per_compute_s,-0.0131,-0.0041,-0.0015,0.2044,-0.0814,0.0589,-0.0407,-0.0407,-0.0792,1.0
