controller,ports,net_profit_mean,net_profit_std,net_profit_min,net_profit_max,net_profit_median,net_profit_n,net_profit_ci_lower,net_profit_ci_upper,total_revenue_mean,total_revenue_std,total_revenue_min,total_revenue_max,total_revenue_median,total_revenue_n,total_revenue_ci_lower,total_revenue_ci_upper,total_cost_mean,total_cost_std,total_cost_min,total_cost_max,total_cost_median,total_cost_n,total_cost_ci_lower,total_cost_ci_upper,served_customers_mean,served_customers_std,served_customers_min,served_customers_max,served_customers_median,served_customers_n,served_customers_ci_lower,served_customers_ci_upper,rejected_customers_mean,rejected_customers_std,rejected_customers_min,rejected_customers_max,rejected_customers_median,rejected_customers_n,rejected_customers_ci_lower,rejected_customers_ci_upper,mean_soc_fulfillment_mean,mean_soc_fulfillment_std,mean_soc_fulfillment_min,mean_soc_fulfillment_max,mean_soc_fulfillment_median,mean_soc_fulfillment_n,mean_soc_fulfillment_ci_lower,mean_soc_fulfillment_ci_upper,gap_to_best_mean,gap_to_best_std,gap_to_best_min,gap_to_best_max,gap_to_best_median,gap_to_best_n,gap_to_best_ci_lower,gap_to_best_ci_upper,total_compute_s_mean,total_compute_s_std,total_compute_s_min,total_compute_s_max,total_compute_s_median,total_compute_s_n,total_compute_s_ci_lower,total_compute_s_ci_upper,mean_step_ms_mean,mean_step_ms_std,mean_step_ms_min,mean_step_ms_max,mean_step_ms_median,mean_step_ms_n,mean_step_ms_ci_lower,mean_step_ms_ci_upper
equal_share,3,24.5,6.84,17.35,39.98,24.28,10,20.26,28.74,106.17,29.66,75.18,173.26,105.2,10,87.79,124.56,81.67,22.82,57.83,133.27,80.92,10,67.53,95.81,6.1,2.9,2,10,6.5,10,4.3,7.9,239.0,16.5,218,273,237.5,10,228.8,249.2,0.929,0.124,0.641,0.998,0.997,10,0.852,1.006,-10.82,6.57,-21.16,-1.67,-11.12,10,-14.89,-6.75,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.01,0.0,0.01,0.01,0.01,10,0.01,0.01
equal_share,6,52.62,6.35,41.33,62.41,53.94,10,48.68,56.55,228.0,27.53,179.08,270.44,233.74,10,210.94,245.07,175.39,21.18,137.76,208.03,179.8,10,162.26,188.51,14.8,4.7,6,19,16.0,10,11.9,17.7,227.3,20.1,206,270,225.5,10,214.8,239.8,0.873,0.166,0.472,0.998,0.912,10,0.77,0.976,-16.23,5.95,-26.75,-9.57,-15.04,10,-19.92,-12.55,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.01,0.0,0.01,0.01,0.01,10,0.01,0.01
equal_share,12,107.08,11.96,90.34,127.02,106.79,10,99.66,114.49,464.0,51.83,391.47,550.41,462.76,10,431.88,496.13,356.92,39.87,301.13,423.4,355.97,10,332.21,381.64,28.6,4.3,20,35,29.5,10,26.0,31.2,207.7,17.2,190,240,203.0,10,197.1,218.3,0.904,0.07,0.762,0.996,0.921,10,0.86,0.947,-27.84,8.49,-44.27,-15.45,-27.96,10,-33.1,-22.57,0.01,0.0,0.01,0.01,0.01,10,0.01,0.01,0.03,0.01,0.02,0.03,0.03,10,0.03,0.04
max_charge,3,33.88,3.63,26.54,40.32,34.0,10,31.63,36.13,146.83,15.72,114.99,174.74,147.34,10,137.08,156.57,112.94,12.09,88.45,134.41,113.34,10,105.45,120.44,10.2,2.1,7,13,10.5,10,8.9,11.5,234.9,16.4,218,266,233.0,10,224.7,245.1,0.922,0.09,0.778,0.998,0.961,10,0.866,0.978,-1.44,0.11,-1.6,-1.28,-1.45,10,-1.51,-1.37,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0
max_charge,6,67.48,7.24,52.94,80.56,67.83,10,62.99,71.97,292.41,31.39,229.43,349.08,293.94,10,272.95,311.86,224.93,24.15,176.48,268.52,226.11,10,209.96,239.9,21.9,4.4,16,28,22.5,10,19.2,24.6,220.2,19.4,196,259,219.0,10,208.2,232.2,0.9,0.103,0.679,0.998,0.93,10,0.836,0.964,-1.37,0.13,-1.57,-1.14,-1.37,10,-1.45,-1.29,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0
max_charge,12,133.67,14.38,104.99,159.89,134.87,10,124.76,142.59,579.26,62.32,454.97,692.87,584.42,10,540.63,617.88,445.58,47.94,349.98,532.98,449.56,10,415.87,475.29,39.2,2.9,35,43,39.5,10,37.4,41.0,197.2,16.0,182,229,192.0,10,187.3,207.1,0.917,0.045,0.85,0.996,0.907,10,0.89,0.945,-1.24,0.08,-1.37,-1.11,-1.23,10,-1.29,-1.19,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.01,0.0,0.01,0.01,0.01,10,0.01,0.01
milp_h1,3,35.24,3.67,27.87,41.88,35.42,10,32.96,37.51,147.44,15.71,115.98,175.92,148.14,10,137.7,157.18,112.2,12.05,88.11,134.04,112.72,10,104.73,119.67,8.1,1.1,6,9,8.5,10,7.4,8.8,237.1,16.7,219,270,233.5,10,226.8,247.4,0.909,0.116,0.726,0.999,0.997,10,0.837,0.981,-0.09,0.07,-0.22,-0.0,-0.05,10,-0.13,-0.04,4.31,0.22,4.04,4.8,4.23,10,4.17,4.44,14.95,0.78,14.04,16.65,14.7,10,14.47,15.43
milp_h1,6,68.75,7.29,54.21,81.99,69.19,10,64.23,73.26,292.66,31.4,230.13,349.74,294.53,10,273.19,312.12,223.91,24.12,175.91,267.74,225.34,10,208.96,238.86,15.4,3.2,11,22,15.0,10,13.4,17.4,226.8,15.3,211,261,223.5,10,217.3,236.3,0.883,0.118,0.707,0.999,0.894,10,0.81,0.955,-0.1,0.07,-0.23,0.0,-0.08,10,-0.14,-0.06,2.59,0.06,2.52,2.72,2.59,10,2.55,2.63,9.0,0.22,8.74,9.46,8.98,10,8.86,9.14
milp_h1,12,134.9,14.42,106.1,161.18,136.13,10,125.96,143.84,579.32,62.33,454.97,692.87,584.55,10,540.69,617.95,444.42,47.91,348.87,531.7,448.42,10,414.73,474.11,25.7,2.8,22,31,26.0,10,24.0,27.4,210.4,15.7,191,242,208.5,10,200.7,220.1,0.861,0.068,0.761,0.977,0.843,10,0.819,0.903,-0.01,0.02,-0.07,0.0,0.0,10,-0.03,0.0,3.07,0.49,2.77,4.39,2.87,10,2.76,3.38,10.66,1.72,9.61,15.25,9.95,10,9.6,11.73
milp_h12,3,35.29,3.67,27.95,41.92,35.5,10,33.02,37.57,147.76,15.73,116.41,176.1,148.61,10,138.01,157.51,112.46,12.06,88.45,134.18,113.11,10,104.99,119.94,8.5,2.5,6,13,7.5,10,7.0,10.0,236.6,16.0,217,266,233.0,10,226.7,246.5,0.784,0.298,0.0,0.999,0.87,10,0.6,0.969,-0.03,0.06,-0.19,0.0,0.0,10,-0.07,0.01,9.27,3.35,5.3,14.49,8.22,10,7.19,11.35,32.2,11.65,18.41,50.3,28.53,10,24.98,39.42
