controller,ports,cv,iqr,worst_case,best_case
equal_share,3,0.2794,7.916,17.35,39.98
equal_share,6,0.1207,4.364,41.33,62.41
equal_share,12,0.1117,14.198,90.34,127.02
max_charge,3,0.1071,3.161,26.54,40.32
max_charge,6,0.1074,5.84,52.94,80.56
max_charge,12,0.1076,11.317,104.99,159.89
milp_h1,3,0.104,2.981,27.87,41.88
milp_h1,6,0.106,5.708,54.21,81.99
milp_h1,12,0.1069,11.391,106.1,161.18
milp_h12,3,0.1041,2.977,27.95,41.92
milp_h12,6,0.106,5.691,54.27,82.12
milp_h12,12,0.1069,11.401,106.1,161.18
milp_h3,3,0.1045,2.831,27.85,41.92
milp_h3,6,0.1058,5.78,54.21,81.99
milp_h3,12,0.1069,11.401,106.1,161.18
milp_h6,3,0.1041,2.961,27.95,41.92
milp_h6,6,0.1057,5.679,54.29,82.03
milp_h6,12,0.1068,11.297,106.1,161.18
random,3,0.1157,2.979,22.99,36.27
random,6,0.1089,5.264,48.94,74.95
random,12,0.1076,10.794,97.34,148.7
