controller,ports,net_profit,mean_step_ms,served_customers,rejected_customers
equal_share,3,24.5,0.01,6.1,239.0
equal_share,6,52.62,0.01,14.8,227.3
equal_share,12,107.08,0.03,28.6,207.7
max_charge,3,33.88,0.0,10.2,234.9
max_charge,6,67.48,0.0,21.9,220.2
max_charge,12,133.67,0.01,39.2,197.2
milp_h1,3,35.24,14.95,8.1,237.1
milp_h1,6,68.75,9.0,15.4,226.8
milp_h1,12,134.9,10.66,25.7,210.4
milp_h12,3,35.29,32.2,8.5,236.6
milp_h12,6,68.85,28.75,15.8,226.4
milp_h12,12,134.91,3512.75,27.4,210.0
milp_h3,3,35.26,31.46,8.8,236.5
milp_h3,6,68.78,14.44,14.9,227.5
milp_h3,12,134.91,16.91,28.8,209.0
milp_h6,3,35.3,31.58,8.7,236.4
milp_h6,6,68.83,20.09,15.5,227.3
milp_h6,12,134.87,24.43,28.7,208.5
random,3,29.82,0.02,8.5,236.7
random,6,62.08,0.03,19.0,223.3
random,12,125.62,0.13,34.2,202.0
