controller,ports,net_profit_mean,net_profit_std,net_profit_min,net_profit_max,net_profit_median,net_profit_n,net_profit_ci_lower,net_profit_ci_upper,total_revenue_mean,total_revenue_std,total_revenue_min,total_revenue_max,total_revenue_median,total_revenue_n,total_revenue_ci_lower,total_revenue_ci_upper,total_cost_mean,total_cost_std,total_cost_min,total_cost_max,total_cost_median,total_cost_n,total_cost_ci_lower,total_cost_ci_upper,served_customers_mean,served_customers_std,served_customers_min,served_customers_max,served_customers_median,served_customers_n,served_customers_ci_lower,served_customers_ci_upper,rejected_customers_mean,rejected_customers_std,rejected_customers_min,rejected_customers_max,rejected_customers_median,rejected_customers_n,rejected_customers_ci_lower,rejected_customers_ci_upper,mean_soc_fulfillment_mean,mean_soc_fulfillment_std,mean_soc_fulfillment_min,mean_soc_fulfillment_max,mean_soc_fulfillment_median,mean_soc_fulfillment_n,mean_soc_fulfillment_ci_lower,mean_soc_fulfillment_ci_upper,gap_to_best_mean,gap_to_best_std,gap_to_best_min,gap_to_best_max,gap_to_best_median,gap_to_best_n,gap_to_best_ci_lower,gap_to_best_ci_upper,total_compute_s_mean,total_compute_s_std,total_compute_s_min,total_compute_s_max,total_compute_s_median,total_compute_s_n,total_compute_s_ci_lower,total_compute_s_ci_upper,mean_step_ms_mean,mean_step_ms_std,mean_step_ms_min,mean_step_ms_max,mean_step_ms_median,mean_step_ms_n,mean_step_ms_ci_lower,mean_step_ms_ci_upper
equal_share,3,45.79,13.66,21.91,79.9,44.27,30,40.9,50.68,137.37,40.98,65.74,239.69,132.81,30,122.71,152.04,91.58,27.32,43.82,159.79,88.54,30,81.81,101.36,7.2,3.0,1,12,7.5,30,6.1,8.3,235.3,14.7,206,273,236.5,30,230.0,240.6,0.911,0.195,0.0,0.999,0.996,30,0.842,0.981,-13.54,10.33,-38.05,-1.31,-11.7,30,-17.24,-9.85,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.01,0.0,0.01,0.01,0.01,30,0.01,0.01
equal_share,6,85.9,17.15,54.15,109.57,90.51,30,79.76,92.04,257.7,51.44,162.44,328.72,271.52,30,239.29,276.11,171.8,34.29,108.29,219.15,181.01,30,159.53,184.07,13.3,4.4,6,20,13.0,30,11.8,14.9,226.1,16.5,188,270,226.5,30,220.2,232.0,0.879,0.125,0.472,0.998,0.895,30,0.835,0.924,-30.63,14.22,-61.72,-8.81,-27.52,30,-35.72,-25.54,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.01,0.0,0.01,0.01,0.01,30,0.01,0.01
equal_share,12,174.77,31.69,81.49,232.37,176.07,30,163.43,186.11,524.31,95.07,244.47,697.12,528.22,30,490.29,558.33,349.54,63.38,162.98,464.74,352.15,30,326.86,372.22,25.6,5.9,12,38,26.0,30,23.5,27.7,208.0,16.7,176,240,207.0,30,202.0,214.0,0.897,0.088,0.629,0.997,0.912,30,0.866,0.929,-54.65,20.74,-86.81,-9.17,-53.05,30,-62.08,-47.23,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.01,0.0,0.01,0.01,0.01,30,0.01,0.01
max_charge,3,57.76,9.38,38.35,80.61,58.21,30,54.41,61.12,173.29,28.14,115.05,241.84,174.64,30,163.22,183.36,115.53,18.76,76.7,161.22,116.43,30,108.81,122.24,10.4,1.8,7,13,10.0,30,9.7,11.1,232.1,15.2,196,266,234.5,30,226.7,237.6,0.947,0.069,0.778,0.999,0.996,30,0.922,0.972,-1.57,0.27,-2.14,-0.94,-1.61,30,-1.67,-1.47,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0
max_charge,6,115.06,18.67,76.61,160.9,115.53,30,108.38,121.74,345.19,56.01,229.83,482.69,346.59,30,325.15,365.23,230.13,37.34,153.22,321.79,231.06,30,216.77,243.49,20.7,3.5,14,28,20.0,30,19.4,21.9,218.8,16.3,186,259,220.0,30,213.0,224.7,0.898,0.092,0.615,0.999,0.902,30,0.865,0.931,-1.47,0.22,-1.93,-0.92,-1.5,30,-1.55,-1.39,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0
max_charge,12,228.18,36.86,152.7,317.65,229.11,30,214.99,241.37,684.55,110.59,458.11,952.95,687.34,30,644.97,724.12,456.37,73.73,305.41,635.3,458.22,30,429.98,482.75,39.2,2.9,32,43,40.0,30,38.2,40.2,194.6,15.9,158,229,197.0,30,188.9,200.3,0.924,0.045,0.849,0.998,0.914,30,0.907,0.94,-1.24,0.17,-1.62,-0.78,-1.23,30,-1.31,-1.18,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0
milp_h1,3,59.21,9.55,39.27,82.64,59.36,30,55.79,62.63,174.03,28.25,115.45,243.33,174.51,30,163.92,184.14,114.82,18.7,76.18,160.69,115.15,30,108.13,121.51,8.1,1.9,5,14,8.0,30,7.4,8.8,234.4,15.0,200,270,235.0,30,229.1,239.8,0.906,0.194,0.0,0.999,0.997,30,0.837,0.975,-0.13,0.11,-0.39,0.0,-0.09,30,-0.17,-0.09,4.25,0.68,3.79,6.16,3.96,30,4.0,4.49,14.75,2.37,13.15,21.39,13.73,30,13.9,15.59
milp_h1,6,116.36,18.73,77.72,162.56,116.73,30,109.66,123.06,345.49,55.79,230.79,483.1,346.62,30,325.53,365.46,229.13,37.06,153.07,320.54,229.89,30,215.87,242.39,14.5,3.2,7,22,14.5,30,13.4,15.7,225.1,16.1,190,261,225.5,30,219.3,230.8,0.872,0.146,0.304,0.999,0.893,30,0.82,0.925,-0.17,0.14,-0.57,0.0,-0.13,30,-0.22,-0.12,2.77,0.1,2.58,3.01,2.75,30,2.73,2.8,9.6,0.35,8.97,10.46,9.56,30,9.47,9.73
milp_h1,12,229.34,37.05,153.52,319.18,230.3,30,216.09,242.6,684.43,110.75,458.2,952.95,687.34,30,644.8,724.07,455.09,73.71,304.68,633.77,457.04,30,428.71,481.47,25.1,3.7,18,32,24.5,30,23.8,26.5,208.5,15.7,174,242,209.5,30,202.9,214.1,0.896,0.07,0.756,0.998,0.897,30,0.871,0.921,-0.08,0.24,-1.28,0.0,0.0,30,-0.17,0.0,3.45,0.69,3.05,5.89,3.25,30,3.2,3.7,11.98,2.41,10.6,20.45,11.28,30,11.12,12.84
milp_h12,3,59.3,9.54,39.46,82.75,59.48,30,55.88,62.71,174.34,28.23,116.02,243.69,174.9,30,164.23,184.44,115.04,18.7,76.56,160.94,115.42,30,108.35,121.73,8.5,1.5,6,12,8.0,30,7.9,9.0,234.0,15.1,200,268,235.0,30,228.6,239.4,0.929,0.088,0.739,1.0,0.996,30,0.897,0.96,-0.04,0.09,-0.39,0.0,0.0,30,-0.07,-0.01,7.34,0.98,5.75,10.14,7.23,30,6.99,7.69,25.48,3.41,19.97,35.22,25.11,30,24.25,26.7
