controller,ports,cv,iqr,worst_case,best_case
equal_share,3,0.2983,17.777,21.91,79.9
equal_share,6,0.1996,21.45,54.15,109.57
equal_share,12,0.1813,42.496,81.49,232.37
max_charge,3,0.1624,6.691,38.35,80.61
max_charge,6,0.1622,13.491,76.61,160.9
max_charge,12,0.1616,27.95,152.7,317.65
milp_h1,3,0.1613,6.943,39.27,82.64
milp_h1,6,0.1609,13.75,77.72,162.56
milp_h1,12,0.1615,27.944,153.52,319.18
milp_h12,3,0.1609,6.628,39.46,82.75
milp_h12,6,0.1612,13.771,77.76,162.74
milp_h12,12,0.1613,27.929,153.56,319.18
milp_h3,3,0.1612,6.687,39.42,82.73
milp_h3,6,0.1613,13.696,77.72,162.64
milp_h3,12,0.1609,27.833,153.52,319.18
milp_h6,3,0.1608,6.59,39.46,82.75
milp_h6,6,0.1616,13.747,77.76,162.83
milp_h6,12,0.1613,27.929,153.56,319.18
random,3,0.1667,6.585,33.39,70.44
random,6,0.162,12.308,69.92,148.49
random,12,0.1637,23.906,144.7,299.91
