,net_profit,total_revenue,total_cost,served_customers,rejected_customers,mean_soc_fulfillment,total_compute_s,mean_step_ms,gap_to_best,profit_per_compute_s
net_profit,1.0,1.0,1.0,0.8865,-0.5217,-0.0869,0.0221,0.0221,-0.0275,0.0929
total_revenue,1.0,1.0,1.0,0.8865,-0.5217,-0.0869,0.0221,0.0221,-0.0275,0.0929
total_cost,1.0,1.0,1.0,0.8865,-0.5217,-0.0869,0.0221,0.0221,-0.0275,0.0929
served_customers,0.8865,0.8865,0.8865,1.0,-0.657,-0.1024,0.0011,0.0011,-0.0752,0.2737
rejected_customers,-0.5217,-0.5217,-0.5217,-0.657,1.0,0.1415,-0.0508,-0.0508,0.0503,-0.1293
mean_soc_fulfillment,-0.0869,-0.0869,-0.0869,-0.1024,0.1415,1.0,0.0475,0.0475,-0.0084,0.0339
total_compute_s,0.0221,0.0221,0.0221,0.0011,-0.0508,0.0475,1.0,1.0,0.1148,-0.123
mean_step_ms,0.0221,0.0221,0.0221,0.0011,-0.0508,0.0475,1.0,1.0,0.1148,-0.123
gap_to_best,-0.0275,-0.0275,-0.0275,-0.0752,0.0503,-0.0084,0.1148,0.1148,1.0,-0.0185
profit_per_compute_s,0.0929,0.0929,0.0929,0.2737,-0.1293,0.0339,-0.123,-0.123,-0.0185,1.0
