controller,ports,cv,iqr,worst_case,best_case
equal_share,3,0.2794,7.916,17.35,39.98
equal_share,6,0.1207,4.364,41.33,62.41
equal_share,12,0.1117,14.198,90.34,127.02
max_charge,3,0.1071,3.161,26.54,40.32
max_charge,6,0.1074,5.84,52.94,80.56
max_charge,12,0.1076,11.317,104.99,159.89
milp_h1,3,0.1068,3.105,26.54,40.32
milp_h1,6,0.1074,5.84,52.94,80.56
milp_h1,12,0.1097,11.317,103.77,159.89
milp_h12,3,0.107,3.135,26.54,40.32
milp_h12,6,0.1074,5.84,52.94,80.56
milp_h12,12,0.1101,11.317,103.58,159.89
milp_h3,3,0.107,3.11,26.54,40.32
milp_h3,6,0.1074,5.84,52.94,80.56
milp_h3,12,0.108,11.317,104.73,159.89
milp_h6,3,0.107,3.135,26.54,40.32
milp_h6,6,0.1074,5.84,52.94,80.56
milp_h6,12,0.1081,11.317,104.73,159.89
random,3,0.1157,2.979,22.99,36.27
random,6,0.1089,5.264,48.94,74.95
random,12,0.1076,10.794,97.34,148.7
