controller,ports,net_profit,mean_step_ms,served_customers,rejected_customers
equal_share,3,24.5,0.01,6.1,239.0
equal_share,6,52.62,0.01,14.8,227.3
equal_share,12,107.08,0.03,28.6,207.7
max_charge,3,33.88,0.0,10.2,234.9
max_charge,6,67.48,0.0,21.9,220.2
max_charge,12,133.67,0.01,39.2,197.2
milp_h1,3,33.86,16.99,8.4,236.7
milp_h1,6,67.48,14.63,19.2,223.2
milp_h1,12,133.55,32.07,32.3,203.9
milp_h12,3,33.89,71.59,7.9,237.2
milp_h12,6,67.47,223.29,14.7,227.8
milp_h12,12,133.53,102.91,27.5,210.2
milp_h3,3,33.88,36.67,8.7,236.4
milp_h3,6,67.48,21.97,14.0,228.6
milp_h3,12,133.62,54.34,28.3,209.3
milp_h6,3,33.89,27.18,8.1,237.0
milp_h6,6,67.48,29.41,14.5,227.9
milp_h6,12,133.63,42.02,27.5,209.4
random,3,29.82,0.04,8.5,236.7
random,6,62.08,0.1,19.0,223.3
random,12,125.62,0.14,34.2,202.0
