,net_profit,total_revenue,total_cost,served_customers,rejected_customers,mean_soc_fulfillment,total_compute_s,mean_step_ms,gap_to_best,profit_per_compute_s
net_profit,1.0,0.9934,0.9475,0.8889,-0.6521,-0.1213,0.1,0.1,-0.008,0.0004
total_revenue,0.9934,1.0,0.978,0.898,-0.6146,-0.1312,0.1028,0.1028,-0.0086,0.0002
total_cost,0.9475,0.978,1.0,0.8839,-0.5254,-0.1448,0.1045,0.1045,-0.0093,-0.0002
served_customers,0.8889,0.898,0.8839,1.0,-0.6259,-0.1694,0.0042,0.0042,-0.0861,0.2141
rejected_customers,-0.6521,-0.6146,-0.5254,-0.6259,1.0,0.0796,-0.0597,-0.0597,0.079,-0.1223
mean_soc_fulfillment,-0.1213,-0.1312,-0.1448,-0.1694,0.0796,1.0,-0.0478,-0.0478,0.0205,-0.0136
total_compute_s,0.1,0.1028,0.1045,0.0042,-0.0597,-0.0478,1.0,1.0,0.0371,-0.0412
mean_step_ms,0.1,0.1028,0.1045,0.0042,-0.0597,-0.0478,1.0,1.0,0.0371,-0.0412
gap_to_best,-0.008,-0.0086,-0.0093,-0.0861,0.079,0.0205,0.0371,0.0371,1.0,-0.0415
profit_per_compute_s,0.0004,0.0002,-0.0002,0.2141,-0.1223,-0.0136,-0.0412,-0.0412,-0.0415,1.0
