controller,ports,cv,iqr,worst_case,best_case
equal_share,3,0.2653,55.682,97.7,229.98
equal_share,6,0.1248,56.349,255.32,374.24
equal_share,12,0.1028,85.401,567.44,799.67
max_charge,3,0.0564,10.968,187.01,232.17
max_charge,6,0.0569,22.987,373.53,463.47
max_charge,12,0.0581,43.861,740.42,920.82
milp_h1,3,0.0558,11.572,189.81,234.62
milp_h1,6,0.0568,22.821,375.63,465.69
milp_h1,12,0.0579,43.836,741.7,921.93
milp_h12,3,0.0562,11.514,189.83,235.25
milp_h12,6,0.0564,22.222,376.5,466.03
milp_h12,12,0.058,43.836,741.7,921.93
milp_h3,3,0.0552,11.727,190.0,234.38
milp_h3,6,0.0568,22.725,375.63,465.69
milp_h3,12,0.058,43.836,741.7,921.93
milp_h6,3,0.0562,11.729,190.0,235.42
milp_h6,6,0.0567,22.363,375.86,465.94
milp_h6,12,0.0579,43.12,741.7,921.93
random,3,0.048,8.592,168.0,200.03
random,6,0.0584,20.584,346.65,429.46
random,12,0.0601,43.342,685.04,858.34
