controller,ports,net_profit,mean_step_ms,served_customers,rejected_customers
equal_share,3,151.25,0.01,6.1,239.0
equal_share,6,327.95,0.01,14.8,227.3
equal_share,12,662.22,0.03,28.6,207.7
max_charge,3,208.16,0.0,10.2,234.9
max_charge,6,414.61,0.0,21.9,220.2
max_charge,12,821.53,0.01,39.2,197.2
milp_h1,3,210.23,15.31,8.1,237.1
milp_h1,6,416.19,9.1,15.4,226.8
milp_h1,12,822.83,10.0,25.7,210.4
milp_h12,3,210.74,27.76,8.6,236.5
milp_h12,6,416.71,29.44,15.8,226.7
milp_h12,12,822.9,3531.03,29.8,207.2
milp_h3,3,210.34,32.94,8.6,236.7
milp_h3,6,416.36,14.25,15.2,227.0
milp_h3,12,822.88,16.96,26.3,211.2
milp_h6,3,210.78,29.79,8.5,236.6
milp_h6,6,416.47,20.5,14.7,227.7
milp_h6,12,822.77,24.51,29.4,207.4
random,3,182.78,0.02,8.5,236.7
random,6,381.55,0.03,19.0,223.3
random,12,772.28,0.14,34.2,202.0
