controller,seed,net_profit,total_revenue,total_cost,served_customers,rejected_customers,mean_soc_fulfillment,total_compute_s,mean_step_ms,gap_to_best,ports,experiment_id,tariff,bess_enabled,v2g_enabled,solver
milp_h1,0,206.71877029616036,320.6498540282249,113.93108373206455,9,224,0.9966674304666521,4.085386700287927,14.185370487110857,-1.366933185655995,3,0_75_p3_6_12_h1_3_6_12,0.75,True,True,highs
milp_h1,1,212.0399610766164,323.5498497366905,111.50988866007407,9,223,0.7795695473590564,3.82869780017063,13.2940895839258,3.9542575948000547,3,0_75_p3_6_12_h1_3_6_12,0.75,True,True,highs
milp_h1,2,215.21049645549456,322.92485027313234,107.71435381763777,6,235,0.9983711705837773,3.9610845002462156,13.753765625854916,7.124792973678211,3,0_75_p3_6_12_h1_3_6_12,0.75,True,True,highs
milp_h1,3,208.65656716426213,323.0748492002487,114.41828203598658,8,225,0.9988173624404765,4.088788699998986,14.19718298610759,0.5708636824457756,3,0_75_p3_6_12_h1_3_6_12,0.75,True,True,highs
milp_h1,4,202.07353379142603,324.4998508095741,122.4263170181481,7,232,0.9985805703405464,3.884574799973052,13.488106944350875,-6.012169690390323,3,0_75_p3_6_12_h1_3_6_12,0.75,True,True,highs
milp_h1,5,214.36998567717472,321.4498508095741,107.07986513239939,9,245,0.9986918062025767,3.8233862995984964,13.27564687360589,6.284282195358372,3,0_75_p3_6_12_h1_3_6_12,0.75,True,True,highs
milp_h1,6,202.33188841740292,320.3748492002487,118.04296078284581,9,270,0.7968468199094542,3.943413000437431,13.692406251518857,-5.7538150644134305,3,0_75_p3_6_12_h1_3_6_12,0.75,True,True,highs
milp_h1,7,234.61974661041734,322.7248513460159,88.10510473559857,8,219,0.9970233026422637,3.9712047995999455,13.788905554166478,26.534043128600985,3,0_75_p3_6_12_h1_3_6_12,0.75,True,True,highs
milp_h1,8,216.42062081098553,321.1748492002487,104.75422838926315,7,239,0.8042142756700751,3.8021120998309925,13.201778124413169,8.334917329169173,3,0_75_p3_6_12_h1_3_6_12,0.75,True,True,highs
milp_h1,9,189.81166098392643,323.8498497366905,134.03818875276406,9,259,0.7258890959602696,3.810520399652887,13.230973609905858,-18.274042497889923,3,0_75_p3_6_12_h1_3_6_12,0.75,True,True,highs
milp_h1,10,173.4716805731694,322.92485027313234,149.45316969996293,9,229,0.8638596251223897,3.80006720055826,13.19467777971618,-34.614022908646945,3,0_75_p3_6_12_h1_3_6_12,0.75,True,True,highs
milp_h1,11,204.44926067730103,319.29985194206233,114.85059126476132,8,207,0.998632730522574,4.054211600276176,14.077123612070055,-3.636442804515326,3,0_75_p3_6_12_h1_3_6_12,0.75,True,True,highs
milp_h1,12,207.3246467151642,322.7748492002487,115.45020248508452,7,243,0.997985801950094,3.816011899674777,13.250041318315198,-0.7610567666521604,3,0_75_p3_6_12_h1_3_6_12,0.75,True,True,highs
milp_h1,13,210.40879905294815,324.67484920024873,114.26605014730056,7,221,0.9969233610040176,3.9608980998164043,13.753118402140293,2.3230955711318018,3,0_75_p3_6_12_h1_3_6_12,0.75,True,True,highs
milp_h1,14,204.78645319948194,324.0248502731323,119.23839707365036,12,244,0.9246322476637214,4.1669914000085555,14.468720138918595,-3.2992502823344125,3,0_75_p3_6_12_h1_3_6_12,0.75,True,True,highs
milp_h1,15,214.49992373150587,323.9998508095741,109.49992707806825,6,224,0.997693578897724,4.103053699654993,14.246714234913169,6.414220249689521,3,0_75_p3_6_12_h1_3_6_12,0.75,True,True,highs
milp_h1,16,203.7469621827205,324.3498486638069,120.6028864810864,7,228,0.9973861224501605,3.9515383994439617,13.720619442513756,-4.338741299095858,3,0_75_p3_6_12_h1_3_6_12,0.75,True,True,highs
milp_h1,17,185.27693122974713,318.02485140562055,132.74792017587342,7,234,0.9988404486839312,3.8994054994545877,13.539602428661762,-22.808772252069218,3,0_75_p3_6_12_h1_3_6_12,0.75,True,True,highs
milp_h1,18,244.23151858150953,322.12484920024866,77.89333061873913,8,235,0.7669653578677006,4.044158400211018,14.042216667399366,36.14581509969318,3,0_75_p3_6_12_h1_3_6_12,0.75,True,True,highs
milp_h1,19,201.43393124639988,319.2498497366905,117.81591849029064,7,200,0.9952246366467055,3.917157200514339,13.601240279563676,-6.651772235416473,3,0_75_p3_6_12_h1_3_6_12,0.75,True,True,highs
milp_h1,20,230.71733030152316,318.3998529553413,87.68252265381815,8,240,0.9987069177820255,3.890109999978449,13.50732638881406,22.63162681970681,3,0_75_p3_6_12_h1_3_6_12,0.75,True,True,highs
milp_h1,21,185.33654898703097,321.5998508095741,136.26330182254313,7,238,0.99843217513287,3.801356999843847,13.199156249457802,-22.749154494785387,3,0_75_p3_6_12_h1_3_6_12,0.75,True,True,highs
milp_h1,22,234.60950469130117,325.7748492002487,91.16534450894753,14,235,0.805686793928608,3.9419870999408886,13.687455208128085,26.523801209484816,3,0_75_p3_6_12_h1_3_6_12,0.75,True,True,highs
milp_h1,23,214.736753064394,323.6998497366905,108.96309667229652,9,241,0.8359233813936192,3.900310400116723,13.542744444849733,6.651049582577656,3,0_75_p3_6_12_h1_3_6_12,0.75,True,True,highs
milp_h1,24,206.58209259238004,322.2748502731323,115.69275768075227,12,234,0.9132923403274047,3.9833460999652743,13.831062847101647,-1.5036108894363167,3,0_75_p3_6_12_h1_3_6_12,0.75,True,True,highs
milp_h1,25,164.13531614740688,324.8248492002487,160.68953305284182,6,245,0.9965903122330529,4.703184100100771,16.33050034757212,-43.95038733440947,3,0_75_p3_6_12_h1_3_6_12,0.75,True,True,highs
milp_h1,26,204.81303509713013,323.8748492002487,119.06181410311859,5,214,0.9994728645041572,6.145077100023627,21.33707326397093,-3.2726683846862272,3,0_75_p3_6_12_h1_3_6_12,0.75,True,True,highs
milp_h1,27,247.49745552021656,323.6748513460159,76.17739582579932,9,256,0.9987100004084294,6.069276700087357,21.07387743085888,39.41175203840021,3,0_75_p3_6_12_h1_3_6_12,0.75,True,True,highs
milp_h1,28,189.79317882959043,322.9248502731323,133.13167144354185,7,253,0.9978816482621602,5.855846000951715,20.332798614415676,-18.29252465222592,3,0_75_p3_6_12_h1_3_6_12,0.75,True,True,highs
milp_h1,29,199.98771119117737,321.9498497366905,121.96213854551314,6,241,0.0,5.68365380022442,19.734909028557013,-8.097992290638985,3,0_75_p3_6_12_h1_3_6_12,0.75,True,True,highs
milp_h3,0,207.20921468970135,321.4874019503593,114.27818726065793,9,224,0.9971283602117206,8.262946099683177,28.690785068344365,-0.8764887921149978,3,0_75_p3_6_12_h1_3_6_12,0.75,True,True,highs
milp_h3,1,211.84019040243464,323.2248502731323,111.38465987069763,6,226,0.8829650126620496,8.623379500233568,29.942289931366556,3.754486920618291,3,0_75_p3_6_12_h1_3_6_12,0.75,True,True,highs
