,net_profit,total_revenue,total_cost,served_customers,rejected_customers,mean_soc_fulfillment,total_compute_s,mean_step_ms,gap_to_best,profit_per_compute_s
net_profit,1.0,0.9828,0.8727,0.8844,-0.6077,-0.0001,-0.0319,-0.0319,-0.0093,0.1973
total_revenue,0.9828,1.0,0.9479,0.8979,-0.6159,-0.0009,-0.0326,-0.0326,-0.0038,0.1921
total_cost,0.8727,0.9479,1.0,0.8478,-0.5795,-0.0022,-0.0312,-0.0312,0.0059,0.1673
served_customers,0.8844,0.8979,0.8478,1.0,-0.6366,-0.0337,-0.0376,-0.0376,-0.0467,0.4125
rejected_customers,-0.6077,-0.6159,-0.5795,-0.6366,1.0,0.0847,0.0067,0.0067,0.066,-0.244
mean_soc_fulfillment,-0.0001,-0.0009,-0.0022,-0.0337,0.0847,1.0,0.0315,0.0315,0.0645,0.0044
total_compute_s,-0.0319,-0.0326,-0.0312,-0.0376,0.0067,0.0315,1.0,1.0,0.0346,-0.0416
mean_step_ms,-0.0319,-0.0326,-0.0312,-0.0376,0.0067,0.0315,1.0,1.0,0.0346,-0.0416
gap_to_best,-0.0093,-0.0038,0.0059,-0.0467,0.066,0.0645,0.0346,0.0346,1.0,-0.1
profit_per_compute_s,0.1973,0.1921,0.1673,0.4125,-0.244,0.0044,-0.0416,-0.0416,-0.1,1.0
