controller,ports,cv,iqr,worst_case,best_case
equal_share,3,0.2388,42.064,76.33,240.02
equal_share,6,0.1743,81.661,202.03,419.36
equal_share,12,0.1488,135.38,473.71,816.17
max_charge,3,0.0913,12.063,161.33,245.85
max_charge,6,0.0921,25.786,321.86,491.08
max_charge,12,0.0938,56.879,633.7,978.79
milp_h1,3,0.0899,13.084,164.14,247.5
milp_h1,6,0.0923,27.368,323.71,493.98
milp_h1,12,0.0932,57.154,635.23,979.77
milp_h12,3,0.0902,13.264,164.33,248.74
milp_h12,6,0.092,27.177,324.1,494.26
milp_h12,12,0.0936,57.467,635.23,980.03
milp_h3,3,0.0903,13.03,164.28,248.49
milp_h3,6,0.092,27.105,323.86,493.98
milp_h3,12,0.0935,56.399,635.23,979.77
milp_h6,3,0.0907,13.195,164.33,248.49
milp_h6,6,0.0919,27.177,324.31,494.26
milp_h6,12,0.0934,57.228,635.23,979.27
random,3,0.0886,12.975,140.16,213.93
random,6,0.0943,27.085,296.29,448.26
random,12,0.0948,61.673,596.89,929.35
