controller_a,controller_b,metric,n_pairs,mean_a,mean_b,mean_diff,p_ttest,p_wilcoxon,cohen_d,is_significant
equal_share,max_charge,net_profit,90,366.7569185734437,475.7129767465922,-108.95605817314846,2.885177770043502e-22,1.7437900167092118e-16,-1.3695679814228376,True
equal_share,milp_h1,net_profit,90,366.7569185734437,477.3286419820583,-110.57172340861453,9.56928770210905e-23,1.7437900167092118e-16,-1.3954355658885063,True
equal_share,milp_h12,net_profit,90,366.7569185734437,477.67029438018363,-110.91337580673998,7.498598332760797e-23,1.7437900167092118e-16,-1.4011727031463759,True
equal_share,milp_h3,net_profit,90,366.7569185734437,477.4899448514451,-110.73302627800147,8.872269905189543e-23,1.7437900167092118e-16,-1.3972140927626948,True
equal_share,milp_h6,net_profit,90,366.7569185734437,477.64450588367777,-110.88758731023412,7.68038404718335e-23,1.7437900167092118e-16,-1.400608772018866,True
equal_share,random,net_profit,90,366.7569185734437,439.32504659693063,-72.56812802348698,1.2848197850341353e-15,7.779200590848067e-14,-1.0233165626894747,True
max_charge,milp_h1,net_profit,90,475.7129767465922,477.3286419820583,-1.6156652354660328,1.4004293940868757e-31,3.263491055296146e-15,-1.9079417604022928,True
max_charge,milp_h12,net_profit,90,475.7129767465922,477.67029438018363,-1.9573176335914897,2.2540260008891607e-38,5.072620849113068e-16,-2.3631594278198396,True
max_charge,milp_h3,net_profit,90,475.7129767465922,477.4899448514451,-1.776968104852995,1.8757218930412312e-41,1.8034059447633587e-16,-2.5919043689017656,True
max_charge,milp_h6,net_profit,90,475.7129767465922,477.64450588367777,-1.931529137085618,2.97571485540033e-39,1.8034059447633587e-16,-2.4269203010847655,True
max_charge,random,net_profit,90,475.7129767465922,439.32504659693063,36.38793014966152,1.2963511669785065e-45,1.7437900167092118e-16,2.926815112443454,True
milp_h1,milp_h12,net_profit,90,477.3286419820583,477.67029438018363,-0.3416523981254569,4.264102131817898e-05,7.515419107192206e-09,-0.4538982738285862,True
milp_h1,milp_h3,net_profit,90,477.3286419820583,477.4899448514451,-0.16130286938696214,0.015909238362082374,0.003961621942628758,-0.25909413787579433,True
milp_h1,milp_h6,net_profit,90,477.3286419820583,477.64450588367777,-0.3158639016195852,8.515967033760068e-06,2.2587540310541117e-08,-0.4981658672244553,True
milp_h1,random,net_profit,90,477.3286419820583,439.32504659693063,38.003595385127554,3.46390214354061e-48,1.7437900167092118e-16,3.1504491240906067,True
milp_h12,milp_h3,net_profit,90,477.67029438018363,477.4899448514451,0.18034952873849477,0.005126379601379063,6.186491856858177e-05,0.3025321438074923,True
milp_h12,milp_h6,net_profit,90,477.67029438018363,477.64450588367777,0.025788496505871686,0.6597965409477798,0.05679063985014048,0.04655650725680473,False
milp_h12,random,net_profit,90,477.67029438018363,439.32504659693063,38.34524778325301,9.908552088220752e-49,1.7437900167092118e-16,3.1994242056298354,True
milp_h3,milp_h6,net_profit,90,477.4899448514451,477.64450588367777,-0.15456103223262307,7.464450021970878e-05,0.00014184617194584672,-0.43793824720785296,True
milp_h3,random,net_profit,90,477.4899448514451,439.32504659693063,38.16489825451452,2.332595579536249e-48,1.7437900167092118e-16,3.1658547266614647,True
milp_h6,random,net_profit,90,477.64450588367777,439.32504659693063,38.31945928674714,1.1195603544317013e-48,1.7437900167092118e-16,3.1946180233444217,True
