controller,ports,net_profit,mean_step_ms,served_customers,rejected_customers
equal_share,3,163.09,0.01,7.17,235.3
equal_share,6,309.54,0.01,13.33,226.1
equal_share,12,627.65,0.01,25.63,208.0
max_charge,3,205.56,0.0,10.4,232.13
max_charge,6,409.48,0.0,20.67,218.83
max_charge,12,812.09,0.0,39.2,194.6
milp_h1,3,207.67,14.69,8.07,234.43
milp_h1,6,411.14,9.5,14.53,225.07
milp_h1,12,813.18,11.95,25.13,208.47
milp_h12,3,208.0,25.09,8.23,234.27
milp_h12,6,411.65,30.45,15.47,224.37
milp_h12,12,813.36,45.09,28.57,205.87
milp_h3,3,207.85,284.66,8.93,233.67
milp_h3,6,411.25,13.97,14.5,225.3
milp_h3,12,813.37,18.19,26.83,207.93
milp_h6,3,208.09,17.32,9.17,233.27
milp_h6,6,411.45,20.31,14.13,225.77
milp_h6,12,813.4,26.52,28.93,205.67
random,3,180.99,0.03,8.7,233.83
random,6,376.06,0.03,18.6,221.0
random,12,760.92,0.04,34.53,199.0
