,net_profit,total_revenue,total_cost,served_customers,rejected_customers,mean_soc_fulfillment,total_compute_s,mean_step_ms,gap_to_best,profit_per_compute_s
net_profit,1.0,0.9934,0.9476,0.8985,-0.644,-0.1002,0.2847,0.2847,-0.02,0.1321
total_revenue,0.9934,1.0,0.978,0.9041,-0.6053,-0.1072,0.2919,0.2919,-0.0189,0.1254
total_cost,0.9476,0.978,1.0,0.8834,-0.5144,-0.1162,0.295,0.295,-0.0162,0.1088
served_customers,0.8985,0.9041,0.8834,1.0,-0.6569,-0.1088,0.0411,0.0411,-0.0772,0.3299
rejected_customers,-0.644,-0.6053,-0.5144,-0.6569,1.0,0.1347,-0.0366,-0.0366,0.077,-0.2032
mean_soc_fulfillment,-0.1002,-0.1072,-0.1162,-0.1088,0.1347,1.0,-0.1624,-0.1624,-0.0329,0.0452
total_compute_s,0.2847,0.2919,0.295,0.0411,-0.0366,-0.1624,1.0,1.0,0.4058,-0.4381
mean_step_ms,0.2847,0.2919,0.295,0.0411,-0.0366,-0.1624,1.0,1.0,0.4058,-0.4381
gap_to_best,-0.02,-0.0189,-0.0162,-0.0772,0.077,-0.0329,0.4058,0.4058,1.0,-0.0266
profit_per_compute_s,0.1321,0.1254,0.1088,0.3299,-0.2032,0.0452,-0.4381,-0.4381,-0.0266,1.0
