controller,ports,net_profit_mean,net_profit_std,net_profit_min,net_profit_max,net_profit_median,net_profit_n,net_profit_ci_lower,net_profit_ci_upper,total_revenue_mean,total_revenue_std,total_revenue_min,total_revenue_max,total_revenue_median,total_revenue_n,total_revenue_ci_lower,total_revenue_ci_upper,total_cost_mean,total_cost_std,total_cost_min,total_cost_max,total_cost_median,total_cost_n,total_cost_ci_lower,total_cost_ci_upper,served_customers_mean,served_customers_std,served_customers_min,served_customers_max,served_customers_median,served_customers_n,served_customers_ci_lower,served_customers_ci_upper,rejected_customers_mean,rejected_customers_std,rejected_customers_min,rejected_customers_max,rejected_customers_median,rejected_customers_n,rejected_customers_ci_lower,rejected_customers_ci_upper,mean_soc_fulfillment_mean,mean_soc_fulfillment_std,mean_soc_fulfillment_min,mean_soc_fulfillment_max,mean_soc_fulfillment_median,mean_soc_fulfillment_n,mean_soc_fulfillment_ci_lower,mean_soc_fulfillment_ci_upper,gap_to_best_mean,gap_to_best_std,gap_to_best_min,gap_to_best_max,gap_to_best_median,gap_to_best_n,gap_to_best_ci_lower,gap_to_best_ci_upper,total_compute_s_mean,total_compute_s_std,total_compute_s_min,total_compute_s_max,total_compute_s_median,total_compute_s_n,total_compute_s_ci_lower,total_compute_s_ci_upper,mean_step_ms_mean,mean_step_ms_std,mean_step_ms_min,mean_step_ms_max,mean_step_ms_median,mean_step_ms_n,mean_step_ms_ci_lower,mean_step_ms_ci_upper
equal_share,3,151.25,40.13,97.7,229.98,146.47,10,126.38,176.13,232.92,58.49,155.53,318.8,227.39,10,196.67,269.18,81.67,22.82,57.83,133.27,80.92,10,67.53,95.81,6.1,2.9,2,10,6.5,10,4.3,7.9,239.0,16.5,218,273,237.5,10,228.8,249.2,0.929,0.124,0.641,0.998,0.997,10,0.852,1.006,-56.97,37.34,-102.01,-1.49,-59.85,10,-80.12,-33.82,0.0,0.0,0.0,0.01,0.01,10,0.0,0.01,0.02,0.0,0.01,0.02,0.02,10,0.01,0.02
equal_share,6,327.95,40.92,255.32,374.24,333.35,10,302.59,353.31,503.34,47.79,405.94,559.63,508.16,10,473.71,532.96,175.39,21.18,137.76,208.03,179.8,10,162.26,188.51,14.8,4.7,6,19,16.0,10,11.9,17.7,227.3,20.1,206,270,225.5,10,214.8,239.8,0.873,0.166,0.472,0.998,0.912,10,0.77,0.976,-86.66,28.15,-141.95,-53.09,-81.8,10,-104.11,-69.22,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.01,0.0,0.01,0.01,0.01,10,0.01,0.01
equal_share,12,662.22,68.09,567.44,799.67,653.92,10,620.02,704.42,1019.15,70.89,868.57,1101.84,1027.37,10,975.21,1063.08,356.92,39.87,301.13,423.4,355.97,10,332.21,381.64,28.6,4.3,20,35,29.5,10,26.0,31.2,207.7,17.2,190,240,203.0,10,197.1,218.3,0.904,0.07,0.762,0.996,0.921,10,0.86,0.947,-159.31,45.57,-263.84,-109.29,-147.44,10,-187.55,-131.06,0.01,0.0,0.01,0.01,0.01,10,0.01,0.01,0.03,0.0,0.02,0.04,0.03,10,0.03,0.04
max_charge,3,208.16,11.75,187.01,232.17,207.98,10,200.87,215.44,321.1,1.14,319.17,322.87,321.02,10,320.4,321.8,112.94,12.09,88.45,134.41,113.34,10,105.45,120.44,10.2,2.1,7,13,10.5,10,8.9,11.5,234.9,16.4,218,266,233.0,10,224.7,245.1,0.922,0.09,0.778,0.998,0.961,10,0.866,0.978,-0.06,0.15,-0.43,0.0,-0.0,10,-0.15,0.03,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.01,0.0,10,0.0,0.01
max_charge,6,414.61,23.58,373.53,463.47,414.24,10,400.0,429.23,639.54,3.1,633.0,643.8,640.35,10,637.62,641.46,224.93,24.15,176.48,268.52,226.11,10,209.96,239.9,21.9,4.4,16,28,22.5,10,19.2,24.6,220.2,19.4,196,259,219.0,10,208.2,232.2,0.9,0.103,0.679,0.998,0.93,10,0.836,0.964,-0.0,0.0,-0.0,0.0,-0.0,10,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.01,0.0,0.0,0.01,0.01,10,0.0,0.01
max_charge,12,821.53,47.72,740.42,920.82,825.11,10,791.95,851.1,1267.11,8.77,1247.2,1275.4,1269.05,10,1261.67,1272.55,445.58,47.94,349.98,532.98,449.56,10,415.87,475.29,39.2,2.9,35,43,39.5,10,37.4,41.0,197.2,16.0,182,229,192.0,10,187.3,207.1,0.917,0.045,0.85,0.996,0.907,10,0.89,0.945,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.01,0.0,0.01,0.02,0.01,10,0.01,0.01
milp_h1,3,208.01,11.79,187.01,232.17,207.6,10,200.7,215.32,320.87,1.1,318.85,322.23,320.94,10,320.19,321.55,112.86,12.06,88.45,134.41,113.33,10,105.39,120.34,8.4,1.5,7,11,8.0,10,7.5,9.3,236.7,16.2,219,270,233.0,10,226.6,246.8,0.949,0.093,0.697,0.998,0.997,10,0.891,1.007,-0.21,0.19,-0.43,0.0,-0.23,10,-0.33,-0.09,3.97,0.6,2.9,4.66,4.2,10,3.6,4.35,13.8,2.08,10.05,16.17,14.59,10,12.51,15.09
milp_h1,6,414.61,23.58,373.53,463.47,414.24,10,400.0,429.23,639.54,3.1,633.0,643.8,640.35,10,637.62,641.46,224.93,24.15,176.48,268.52,226.11,10,209.96,239.9,19.2,2.4,15,23,19.5,10,17.7,20.7,223.2,18.7,201,260,218.5,10,211.6,234.8,0.885,0.123,0.672,0.998,0.912,10,0.809,0.961,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,4.17,0.19,3.9,4.44,4.2,10,4.06,4.29,14.49,0.65,13.53,15.42,14.57,10,14.09,14.89
milp_h1,12,820.76,45.96,740.42,913.09,825.11,10,792.27,849.24,1265.93,9.01,1247.2,1275.4,1265.95,10,1260.34,1271.52,445.17,48.85,345.91,532.98,449.56,10,414.9,475.45,32.3,4.5,25,38,32.5,10,29.5,35.1,203.9,14.6,182,232,199.5,10,194.8,213.0,0.864,0.065,0.774,0.948,0.871,10,0.824,0.905,-0.77,2.45,-7.74,0.0,-0.0,10,-2.29,0.74,9.43,0.32,8.71,10.0,9.42,10,9.23,9.63,32.74,1.12,30.24,34.73,32.72,10,32.04,33.43
milp_h12,3,208.18,11.76,187.01,232.17,207.82,10,200.89,215.47,321.13,1.1,319.17,322.88,321.26,10,320.45,321.82,112.95,12.09,88.45,134.41,113.45,10,105.46,120.44,7.6,2.3,5,12,7.0,10,6.2,9.0,237.5,16.2,220,270,233.5,10,227.5,247.5,0.903,0.122,0.639,0.999,0.957,10,0.828,0.978,-0.04,0.13,-0.42,0.0,0.0,10,-0.12,0.04,15.94,5.74,9.55,25.06,13.49,10,12.39,19.5,55.36,19.91,33.16,87.0,46.83,10,43.02,67.7
