controller,ports,cv,iqr,worst_case,best_case
equal_share,3,0.2653,55.682,97.7,229.98
equal_share,6,0.1248,56.349,255.32,374.24
equal_share,12,0.1028,85.401,567.44,799.67
max_charge,3,0.0564,10.968,187.01,232.17
max_charge,6,0.0569,22.987,373.53,463.47
max_charge,12,0.0581,43.861,740.42,920.82
milp_h1,3,0.0567,11.116,187.01,232.17
milp_h1,6,0.0569,22.987,373.53,463.47
milp_h1,12,0.056,43.861,740.42,913.09
milp_h12,3,0.0565,11.045,187.01,232.17
milp_h12,6,0.057,23.08,373.53,463.47
milp_h12,12,0.0581,44.075,740.42,920.82
milp_h3,3,0.0566,11.206,187.01,232.17
milp_h3,6,0.0568,22.987,373.53,463.47
milp_h3,12,0.0581,43.861,740.42,920.82
milp_h6,3,0.0565,11.045,187.01,232.17
milp_h6,6,0.0557,22.987,373.53,461.34
milp_h6,12,0.0581,43.861,740.42,920.82
random,3,0.048,8.592,168.0,200.03
random,6,0.0584,20.584,346.65,429.46
random,12,0.0601,43.342,685.04,858.34
