controller_a,controller_b,metric,n_pairs,mean_a,mean_b,mean_diff,p_ttest,p_wilcoxon,cohen_d,is_significant
equal_share,max_charge,net_profit,30,380.47378469805284,481.4326147171192,-100.95883001906633,1.2534605552156378e-10,1.862645149230957e-09,-1.7745321845226616,True
equal_share,milp_h1,net_profit,30,380.47378469805284,481.12620843864147,-100.65242374058857,1.3051904778191908e-10,1.862645149230957e-09,-1.7713306846374102,True
equal_share,milp_h12,net_profit,30,380.47378469805284,481.40413397322095,-100.93034927516803,1.2499107356239577e-10,1.862645149230957e-09,-1.7747568183099958,True
equal_share,milp_h3,net_profit,30,380.47378469805284,481.40464016175935,-100.9308554637064,1.266413166480227e-10,1.862645149230957e-09,-1.7737180309323404,True
equal_share,milp_h6,net_profit,30,380.47378469805284,481.2992460629344,-100.82546136488145,1.2179841521541795e-10,1.862645149230957e-09,-1.776807020440032,True
equal_share,random,net_profit,30,380.47378469805284,445.5345875991726,-65.06080290111976,6.396258902557085e-08,1.0244548320770264e-07,-1.31360801111117,True
max_charge,milp_h1,net_profit,30,481.4326147171192,481.12620843864147,0.306406278477733,0.24479898560673027,0.1262444670360149,0.21674442657619886,False
max_charge,milp_h12,net_profit,30,481.4326147171192,481.40413397322095,0.028480743898285255,0.35014799355186493,0.3492251727025084,0.17337782227654813,False
max_charge,milp_h3,net_profit,30,481.4326147171192,481.40464016175935,0.027974555359931704,0.5085047474517561,0.9432011360562914,0.12222400586892672,False
max_charge,milp_h6,net_profit,30,481.4326147171192,481.2992460629344,0.1333686541848588,0.1587362908810476,0.615737058040257,0.26410901860831115,False
max_charge,random,net_profit,30,481.4326147171192,445.5345875991726,35.89802711794656,4.9283226102092846e-17,1.862645149230957e-09,3.2171367401973052,True
milp_h1,milp_h12,net_profit,30,481.12620843864147,481.40413397322095,-0.27792553457944774,0.2927968226135613,0.7580495868143727,-0.19562183398828092,False
milp_h1,milp_h3,net_profit,30,481.12620843864147,481.40464016175935,-0.2784317231178013,0.29268118656375736,0.5370366200745247,-0.19566962123136009,False
milp_h1,milp_h6,net_profit,30,481.12620843864147,481.2992460629344,-0.17303762429287417,0.5380351575123815,0.7764976647850168,-0.11377706337229936,False
milp_h1,random,net_profit,30,481.12620843864147,445.5345875991726,35.59162083946884,1.7752087227045627e-17,1.862645149230957e-09,3.342626017371831,True
milp_h12,milp_h3,net_profit,30,481.40413397322095,481.40464016175935,-0.0005061885383535506,0.9881152815610005,0.7353166906373405,-0.0027431419935078608,False
milp_h12,milp_h6,net_profit,30,481.40413397322095,481.2992460629344,0.10488791028657356,0.27054233563502655,0.779434528427275,0.20507738085687416,False
milp_h12,random,net_profit,30,481.40413397322095,445.5345875991726,35.86954637404828,4.970488619597876e-17,1.862645149230957e-09,3.2161065809156337,True
milp_h3,milp_h6,net_profit,30,481.40464016175935,481.2992460629344,0.1053940988249271,0.26323581618678465,0.28504940740261275,0.20830341754377743,False
milp_h3,random,net_profit,30,481.40464016175935,445.5345875991726,35.87005256258663,5.4594260267491745e-17,1.862645149230957e-09,3.204779554082157,True
milp_h6,random,net_profit,30,481.2992460629344,445.5345875991726,35.76465846376171,4.601823465820756e-17,1.862645149230957e-09,3.2254352531812907,True
