controller,ports,net_profit,mean_step_ms,served_customers,rejected_customers
equal_share,3,151.25,0.02,6.1,239.0
equal_share,6,327.95,0.01,14.8,227.3
equal_share,12,662.22,0.03,28.6,207.7
max_charge,3,208.16,0.0,10.2,234.9
max_charge,6,414.61,0.01,21.9,220.2
max_charge,12,821.53,0.01,39.2,197.2
milp_h1,3,208.01,13.8,8.4,236.7
milp_h1,6,414.61,14.49,19.2,223.2
milp_h1,12,820.76,32.74,32.3,203.9
milp_h12,3,208.18,55.36,7.6,237.5
milp_h12,6,414.53,45.14,16.0,226.4
milp_h12,12,821.5,82.62,27.0,210.1
milp_h3,3,208.11,37.99,8.7,236.4
milp_h3,6,414.57,23.12,15.4,227.3
milp_h3,12,821.53,55.1,26.7,211.1
milp_h6,3,208.18,33.14,8.1,237.0
milp_h6,6,414.36,29.87,15.2,227.5
milp_h6,12,821.36,55.82,27.5,210.1
random,3,182.78,0.05,8.5,236.7
random,6,381.55,0.06,19.0,223.3
random,12,772.28,0.12,34.2,202.0
