controller,seed,net_profit,total_revenue,total_cost,served_customers,rejected_customers,mean_soc_fulfillment,total_compute_s,mean_step_ms,gap_to_best,ports,grid_cap_strain,experiment_id,tariff,bess_enabled,v2g_enabled,solver
milp_h1,0,45.045291616112706,131.44702788794112,86.40173627182841,5,228,0.9934898149451237,6.128766700043343,21.280439930706052,0.05472755513366678,3,0.75,dynamic_1_5_p3_h1_3_6_12_s0_75,dynamic:1.5,True,True,highs
milp_h1,1,43.5964757530797,127.0691190774036,83.4726433243239,5,227,0.9063061470176538,6.928688800151576,24.057947222748528,-1.394088307899338,3,0.75,dynamic_1_5_p3_h1_3_6_12_s0_75,dynamic:1.5,True,True,highs
milp_h1,2,42.418630044832085,123.82758299676006,81.40895295192797,2,239,0.0,4.769334199940204,16.56018819423682,-2.5719340161469546,3,0.75,dynamic_1_5_p3_h1_3_6_12_s0_75,dynamic:1.5,True,True,highs
milp_h1,3,44.732187044707985,130.60221308458253,85.87002603987455,6,227,0.9985460720937022,4.571596800073166,15.87360000025405,-0.258377016271055,3,0.75,dynamic_1_5_p3_h1_3_6_12_s0_75,dynamic:1.5,True,True,highs
milp_h1,4,48.01148482593608,140.34237784946671,92.33089302353063,5,234,0.9986931096130579,4.608056500117527,16.000196180963638,3.02092076495704,3,0.75,dynamic_1_5_p3_h1_3_6_12_s0_75,dynamic:1.5,True,True,highs
milp_h1,5,42.05288461758674,122.47965006706039,80.42676544947365,9,245,0.9988171442304771,4.545440400164807,15.782779167238914,-2.937679443392298,3,0.75,dynamic_1_5_p3_h1_3_6_12_s0_75,dynamic:1.5,True,True,highs
milp_h1,6,45.97777120126649,134.2755214671624,88.29775026589591,6,273,0.7576123014954262,4.352257699938491,15.112005902564205,0.9872071402874525,3,0.75,dynamic_1_5_p3_h1_3_6_12_s0_75,dynamic:1.5,True,True,highs
milp_h1,7,34.83103500628029,101.17128400453483,66.34024899825454,7,220,0.6127070284078633,4.386122800045996,15.229593055715263,-10.159529054698751,3,0.75,dynamic_1_5_p3_h1_3_6_12_s0_75,dynamic:1.5,True,True,highs
milp_h1,8,41.02093540803922,119.32210470906308,78.30116930102386,11,235,0.7211788732538613,4.372403200046392,15.18195555571664,-3.969628652939818,3,0.75,dynamic_1_5_p3_h1_3_6_12_s0_75,dynamic:1.5,True,True,highs
milp_h1,9,51.479879712567225,150.5909754954333,99.11109578286607,8,259,0.8326600391296999,4.384999999922002,15.225694444173618,6.489315651588186,3,0.75,dynamic_1_5_p3_h1_3_6_12_s0_75,dynamic:1.5,True,True,highs
milp_h1,10,58.20377556147295,170.38333851251798,112.17956295104503,6,232,0.9972424074765027,4.330285100062611,15.035712152995176,13.213211500493912,3,0.75,dynamic_1_5_p3_h1_3_6_12_s0_75,dynamic:1.5,True,True,highs
milp_h1,11,45.29344386871837,131.97899655842963,86.68555268971126,8,209,0.9926751908387981,4.43300559988711,15.392380555163577,0.30287980773933043,3,0.75,dynamic_1_5_p3_h1_3_6_12_s0_75,dynamic:1.5,True,True,highs
